week,day_number,day_name,portion_transliteration,title_english,title_hebrew,torah_daily_reading,sefaria_bilingual_link,weekly_torah_reading,haftarah_prophets_writings,new_testament,source_note
9,5,Thursday,Vayeshev,He Settled,וישב,Genesis 39:1-39:6,https://www.sefaria.org/Genesis%2039%3A1-39%3A6?lang=bi,Genesis  37:1-40:23,Ezek 37:15-37:28,Heb 11:11-20; Mt 26:36-46+,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
9,6,Friday,Vayeshev,He Settled,וישב,Genesis 39:7-39:23,https://www.sefaria.org/Genesis%2039%3A7-39%3A23?lang=bi,Genesis  37:1-40:23,Ezek 37:15-37:28,Heb 11:11-20; Mt 26:36-46+,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
9,7,Saturday,Vayeshev,He Settled,וישב,Genesis 40:1-40:23,https://www.sefaria.org/Genesis%2040%3A1-40%3A23?lang=bi,Genesis  37:1-40:23,Ezek 37:15-37:28,Heb 11:11-20; Mt 26:36-46+,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
10,1,Sunday,Miketz,At the End,מקץ,Genesis 41:1-41:14,https://www.sefaria.org/Genesis%2041%3A1-41%3A14?lang=bi,Genesis  41:1-44:17,I Ki 2:1-12,"Mt 1:1-6, 16-25",Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
10,2,Monday,Miketz,At the End,מקץ,Genesis 41:15-41:38,https://www.sefaria.org/Genesis%2041%3A15-41%3A38?lang=bi,Genesis  41:1-44:17,I Ki 2:1-12,"Mt 1:1-6, 16-25",Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
10,3,Tuesday,Miketz,At the End,מקץ,Genesis 41:39-41:52,https://www.sefaria.org/Genesis%2041%3A39-41%3A52?lang=bi,Genesis  41:1-44:17,I Ki 2:1-12,"Mt 1:1-6, 16-25",Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
10,4,Wednesday,Miketz,At the End,מקץ,Genesis 41:53-42:18,https://www.sefaria.org/Genesis%2041%3A53-42%3A18?lang=bi,Genesis  41:1-44:17,I Ki 2:1-12,"Mt 1:1-6, 16-25",Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
10,5,Thursday,Miketz,At the End,מקץ,Genesis 42:19-43:15,https://www.sefaria.org/Genesis%2042%3A19-43%3A15?lang=bi,Genesis  41:1-44:17,I Ki 2:1-12,"Mt 1:1-6, 16-25",Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
10,6,Friday,Miketz,At the End,מקץ,Genesis 43:16-43:29,https://www.sefaria.org/Genesis%2043%3A16-43%3A29?lang=bi,Genesis  41:1-44:17,I Ki 2:1-12,"Mt 1:1-6, 16-25",Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
10,7,Saturday,Miketz,At the End,מקץ,Genesis 43:30-44:17,https://www.sefaria.org/Genesis%2043%3A30-44%3A17?lang=bi,Genesis  41:1-44:17,I Ki 2:1-12,"Mt 1:1-6, 16-25",Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
11,1,Sunday,Vayigash,He Drew Near,ויגש,Genesis 44:18-44:30,https://www.sefaria.org/Genesis%2044%3A18-44%3A30?lang=bi,Genesis  44:18-47:27,Ezek 28:25-29:21,Rom 10:1-13,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
11,2,Monday,Vayigash,He Drew Near,ויגש,Genesis 44:31-45:7,https://www.sefaria.org/Genesis%2044%3A31-45%3A7?lang=bi,Genesis  44:18-47:27,Ezek 28:25-29:21,Rom 10:1-13,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
11,3,Tuesday,Vayigash,He Drew Near,ויגש,Genesis 45:8-45:18,https://www.sefaria.org/Genesis%2045%3A8-45%3A18?lang=bi,Genesis  44:18-47:27,Ezek 28:25-29:21,Rom 10:1-13,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
11,4,Wednesday,Vayigash,He Drew Near,ויגש,Genesis 45:19-45:27,https://www.sefaria.org/Genesis%2045%3A19-45%3A27?lang=bi,Genesis  44:18-47:27,Ezek 28:25-29:21,Rom 10:1-13,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
11,5,Thursday,Vayigash,He Drew Near,ויגש,Genesis 45:28-46:27,https://www.sefaria.org/Genesis%2045%3A28-46%3A27?lang=bi,Genesis  44:18-47:27,Ezek 28:25-29:21,Rom 10:1-13,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
11,6,Friday,Vayigash,He Drew Near,ויגש,Genesis 46:28-47:10,https://www.sefaria.org/Genesis%2046%3A28-47%3A10?lang=bi,Genesis  44:18-47:27,Ezek 28:25-29:21,Rom 10:1-13,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
11,7,Saturday,Vayigash,He Drew Near,ויגש,Genesis 47:11-47:27,https://www.sefaria.org/Genesis%2047%3A11-47%3A27?lang=bi,Genesis  44:18-47:27,Ezek 28:25-29:21,Rom 10:1-13,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
12,1,Sunday,Vayechi,He Lived,ויחי,Genesis 47:28-48:9,https://www.sefaria.org/Genesis%2047%3A28-48%3A9?lang=bi,Genesis  47:28-50:26,Jer 46:13-46:28,Eph 2:1-10,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
12,2,Monday,Vayechi,He Lived,ויחי,Genesis 48:10-48:16,https://www.sefaria.org/Genesis%2048%3A10-48%3A16?lang=bi,Genesis  47:28-50:26,Jer 46:13-46:28,Eph 2:1-10,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
12,3,Tuesday,Vayechi,He Lived,ויחי,Genesis 48:17-48:22,https://www.sefaria.org/Genesis%2048%3A17-48%3A22?lang=bi,Genesis  47:28-50:26,Jer 46:13-46:28,Eph 2:1-10,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
12,4,Wednesday,Vayechi,He Lived,ויחי,Genesis 49:1-49:18,https://www.sefaria.org/Genesis%2049%3A1-49%3A18?lang=bi,Genesis  47:28-50:26,Jer 46:13-46:28,Eph 2:1-10,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
12,5,Thursday,Vayechi,He Lived,ויחי,Genesis 49:19-49:26,https://www.sefaria.org/Genesis%2049%3A19-49%3A26?lang=bi,Genesis  47:28-50:26,Jer 46:13-46:28,Eph 2:1-10,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
12,6,Friday,Vayechi,He Lived,ויחי,Genesis 49:27-50:20,https://www.sefaria.org/Genesis%2049%3A27-50%3A20?lang=bi,Genesis  47:28-50:26,Jer 46:13-46:28,Eph 2:1-10,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
12,7,Saturday,Vayechi,He Lived,ויחי,Genesis 50:21-50:26,https://www.sefaria.org/Genesis%2050%3A21-50%3A26?lang=bi,Genesis  47:28-50:26,Jer 46:13-46:28,Eph 2:1-10,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
13,1,Sunday,Shemot,Names,שמות,Exodus 1:1-1:17,https://www.sefaria.org/Exodus%201%3A1-1%3A17?lang=bi,Exodus  1:1-6:1,Judges 4:4-5:31,1 Pet 1:1-9,Recovered from HomeGroupsApp PWA; daily aliyot from Hebcal
